Type,Brand,Product,Kosher,Misc,Src
Beer,Lion Brewery,Stegmaier Lager,OU*,,1
Beer,Lion Brewery,Stegmaier Summer Stock Pils German Style,OU*,,1
Beer,Lionshead,Delux Pilsner Beer,OU*,,1
Beer,Mackeson,Triple Stout Milk Beer,0,,1
Beer,Magnum,Malt Liquor,OU*,,1
Beer,Malka,Blonde Ale,Rabbi Eliyahu (Israel)*,,1
Beer,Malka,Dry Stout,Rabbi Eliyahu (Israel)*,,1
Beer,Malka,Pale Ale,Rabbi Eliyahu (Israel)*,,1
Beer,Marshall Wharf Brewing Co.,Assorted Varieties,0,,1
Beer,Marston's Beer Company,Assorted Varieties,0,,1
Beer,Matt Brewing,Black Cola,KCOR,,1
Beer,Matt Brewing,Flying Bison IPA,KCOR,,1
Beer,Matt Brewing,Flying Bison Rusty Chain,KCOR,,1
Beer,Matt Brewing,Utica Club Light,KCOR,,1
Beer,Matt Brewing,Utica Club Pilsner,KCOR,,1
Beer,McKenzie River,Tourment Berry 6% Malt Beverage,OU*,,1
Beer,McKenzie River,Tourment Berry 9% Malt Beverage,OU*,,1
Beer,McKenzie River,Tourment Citrus 6% Malt Beverage,OU*,,1
Beer,McKenzie River,Tourment Citrus 9% Malt Beverage,OU*,,1
Beer,Mickey's,Ice Malt Liquor,OU*,,1
Beer,Mickey's,Malt Liquor,OU*,,1
Beer,Miller,Chill Beer,OU*,,1
Beer,Miller,Genuine Draft Beer,OU*,,1
Beer,Miller,Genuine Draft Light Beer,OU*,,1
Beer,Miller,High Life Beer,OU*,,1
Beer,Miller,Lite Beer,OU*,,1
Beer,Miller,Lite Ice Beer,OU*,,1
Beer,Miller,Sharp's Non Alcoholic Beer,OU*,,1
Beer,Milwaukee's Best,Beer,OU*,,1
Beer,Milwaukee's Best,Ice Beer,OU*,,1
Beer,Milwaukee's Best,Light Beer,OU*,,1
Beer,Minhas Craft Brewery,1845 Pils,cRc,,1
Beer,Minhas Craft Brewery,American IPA,cRc,,1
Beer,Minhas Craft Brewery,Axehead,cRc,,1
Beer,Minhas Craft Brewery,Bad Hare Amber (Mexico),cRc,,1
Beer,Minhas Craft Brewery,Bad Hare Chocolate Stout,cRc,,1
Beer,Minhas Craft Brewery,Bad Hare Double IPA,cRc,,1
Beer,Minhas Craft Brewery,Bad Hare Hefeweizen,cRc,,1
Beer,Minhas Craft Brewery,Bad Hare Strong Ale,cRc,,1
Beer,Minhas Craft Brewery,Bad Hare Traditional IPA,cRc,,1
Beer,Minhas Craft Brewery,Bad Hare Winter Bock,cRc,,1
Beer,Minhas Craft Brewery,Big Hurt,cRc,,1
Beer,Minhas Craft Brewery,Big Kat Ice,cRc,,1
Beer,Minhas Craft Brewery,Billy Rock,cRc,,1
Beer,Minhas Craft Brewery,Blue Diamond,cRc,,1
Beer,Minhas Craft Brewery,Boatswain American IPA,cRc,,1
Beer,Minhas Craft Brewery,Boatswain Chocolate Stout,cRc,,1
Beer,Minhas Craft Brewery,Boatswain Double IPA,cRc,,1
